Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Image Src
digi-warbler-bundle-001,"Warbler Birding Journal Printable Bundle, Migration Log Kit","<p>Warbler Birding Journal Printable Bundle, Migration Log Kit</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,warbler",TRUE,Title,Default Title,DIGI-WARBLER-BUNDLE-001,0,,9999,continue,manual,9.99,FALSE,
digi-state-california,"California Birding Life List Checklist Printable, Birdwatch Log","<p>California Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-CALIFORNIA,0,,9999,continue,manual,5.99,FALSE,
digi-state-texas,"Texas Birding Life List Checklist Printable, Birdwatch Log","<p>Texas Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-TEXAS,0,,9999,continue,manual,5.99,FALSE,
digi-state-florida,"Florida Birding Life List Checklist Printable, Birdwatch Log","<p>Florida Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-FLORIDA,0,,9999,continue,manual,5.99,FALSE,
digi-state-new-york,"New York Birding Life List Checklist Printable, Birdwatch Log","<p>New York Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-NEW-YORK,0,,9999,continue,manual,5.99,FALSE,
digi-state-washington,"Washington Birding Life List Checklist Printable, Birdwatch Log","<p>Washington Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-WASHINGTON,0,,9999,continue,manual,5.99,FALSE,
digi-state-colorado,"Colorado Birding Life List Checklist Printable, Birdwatch Log","<p>Colorado Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-COLORADO,0,,9999,continue,manual,5.99,FALSE,
digi-state-north-carolina,"North Carolina Birding Life List Checklist Printable, Birdwatch Log","<p>North Carolina Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-NORTH-CAROLINA,0,,9999,continue,manual,5.99,FALSE,
digi-state-arizona,"Arizona Birding Life List Checklist Printable, Birdwatch Log","<p>Arizona Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-ARIZONA,0,,9999,continue,manual,5.99,FALSE,
digi-state-oregon,"Oregon Birding Life List Checklist Printable, Birdwatch Log","<p>Oregon Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-OREGON,0,,9999,continue,manual,5.99,FALSE,
digi-state-pennsylvania,"Pennsylvania Birding Life List Checklist Printable, Birdwatch Log","<p>Pennsylvania Birding Life List Checklist Printable, Birdwatch Log</p><p>Instant digital download.</p>",Field & Feather Co.,Digital Download,"birding,digital,state-checklist",TRUE,Title,Default Title,DIGI-STATE-PENNSYLVANIA,0,,9999,continue,manual,5.99,FALSE,
digi-migration-weekly-001,Spring Migration Weekly Bird Tracker Printable v1,<p>Spring Migration Weekly Bird Tracker Printable v1</p><p>Instant digital download.</p>,Field & Feather Co.,Digital Download,"birding,digital,migration",TRUE,Title,Default Title,DIGI-MIGRATION-WEEKLY-001,0,,9999,continue,manual,4.99,FALSE,
digi-migration-weekly-002,Spring Migration Weekly Bird Tracker Printable v2,<p>Spring Migration Weekly Bird Tracker Printable v2</p><p>Instant digital download.</p>,Field & Feather Co.,Digital Download,"birding,digital,migration",TRUE,Title,Default Title,DIGI-MIGRATION-WEEKLY-002,0,,9999,continue,manual,4.99,FALSE,
digi-migration-weekly-003,Spring Migration Weekly Bird Tracker Printable v3,<p>Spring Migration Weekly Bird Tracker Printable v3</p><p>Instant digital download.</p>,Field & Feather Co.,Digital Download,"birding,digital,migration",TRUE,Title,Default Title,DIGI-MIGRATION-WEEKLY-003,0,,9999,continue,manual,4.99,FALSE,
digi-migration-weekly-004,Spring Migration Weekly Bird Tracker Printable v4,<p>Spring Migration Weekly Bird Tracker Printable v4</p><p>Instant digital download.</p>,Field & Feather Co.,Digital Download,"birding,digital,migration",TRUE,Title,Default Title,DIGI-MIGRATION-WEEKLY-004,0,,9999,continue,manual,4.99,FALSE,
digi-migration-weekly-005,Spring Migration Weekly Bird Tracker Printable v5,<p>Spring Migration Weekly Bird Tracker Printable v5</p><p>Instant digital download.</p>,Field & Feather Co.,Digital Download,"birding,digital,migration",TRUE,Title,Default Title,DIGI-MIGRATION-WEEKLY-005,0,,9999,continue,manual,4.99,FALSE,
digi-migration-weekly-006,Spring Migration Weekly Bird Tracker Printable v6,<p>Spring Migration Weekly Bird Tracker Printable v6</p><p>Instant digital download.</p>,Field & Feather Co.,Digital Download,"birding,digital,migration",TRUE,Title,Default Title,DIGI-MIGRATION-WEEKLY-006,0,,9999,continue,manual,4.99,FALSE,
digi-migration-weekly-007,Spring Migration Weekly Bird Tracker Printable v7,<p>Spring Migration Weekly Bird Tracker Printable v7</p><p>Instant digital download.</p>,Field & Feather Co.,Digital Download,"birding,digital,migration",TRUE,Title,Default Title,DIGI-MIGRATION-WEEKLY-007,0,,9999,continue,manual,4.99,FALSE,
digi-migration-weekly-008,Spring Migration Weekly Bird Tracker Printable v8,<p>Spring Migration Weekly Bird Tracker Printable v8</p><p>Instant digital download.</p>,Field & Feather Co.,Digital Download,"birding,digital,migration",TRUE,Title,Default Title,DIGI-MIGRATION-WEEKLY-008,0,,9999,continue,manual,4.99,FALSE,
digi-migration-weekly-009,Spring Migration Weekly Bird Tracker Printable v9,<p>Spring Migration Weekly Bird Tracker Printable v9</p><p>Instant digital download.</p>,Field & Feather Co.,Digital Download,"birding,digital,migration",TRUE,Title,Default Title,DIGI-MIGRATION-WEEKLY-009,0,,9999,continue,manual,4.99,FALSE,
